Comment,Designator,Footprint,LCSC Part #
2k,R1 R2,R0603,C105576
Green,LED2,SML0603,C2922668
PRO_MICRO_SMD,M1,PRO_MICRO_SMD,
Red,LED1,SML0603,C253533
